player_id,gsis_name,full_name,first_name,last_name,team,position,profile_id,profile_url,uniform_number,birthdate,college,height,weight,years_pro,status
00-0032560,C.Washington,,,,UNK,UNK,,,,,,,,,Unknown
00-0032849,T.Roberson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032540,T.Carson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032918,C.Ham,,,,UNK,UNK,,,,,,,,,Unknown
00-0032545,D.Harris,,,,UNK,UNK,,,,,,,,,Unknown
00-0032549,A.Redmond,,,,UNK,UNK,,,,,,,,,Unknown
00-0032614,J.Stave,,,,UNK,UNK,,,,,,,,,Unknown
00-0032542,D.Dean,,,,UNK,UNK,,,,,,,,,Unknown
00-0032823,C.Tindal,,,,UNK,UNK,,,,,,,,,Unknown
00-0032546,D.Hillary,,,,UNK,UNK,,,,,,,,,Unknown
00-0030029,"",Jheranie Boyd,Jheranie,Boyd,UNK,UNK,2541772,http://www.nfl.com/player/jheranieboyd/2541772/profile,15,11/16/1989,North Carolina,74,190,,Unknown
00-0032610,D.Perine,,,,UNK,UNK,,,,,,,,,Unknown
00-0032608,J.Ganus,,,,UNK,UNK,,,,,,,,,Unknown
00-0032448,S.Weatherly,,,,UNK,UNK,,,,,,,,,Unknown
00-0031788,M.Lengel,,,,UNK,UNK,,,,,,,,,Unknown
00-0032544,A.Grant,,,,UNK,UNK,,,,,,,,,Unknown
00-0033144,J.Gangwish,,,,UNK,UNK,,,,,,,,,Unknown
00-0033027,J.Licata,,,,UNK,UNK,,,,,,,,,Unknown
00-0033141,R.Simonise,,,,UNK,UNK,,,,,,,,,Unknown
00-0032341,M.Boehringer,,,,UNK,UNK,,,,,,,,,Unknown
00-0032539,R.Brown,,,,UNK,UNK,,,,,,,,,Unknown
00-0031977,J.Peters,,,,UNK,UNK,,,,,,,,,Unknown
00-0032644,P.Mortell,,,,UNK,UNK,,,,,,,,,Unknown
00-0032844,B.Burks,,,,UNK,UNK,,,,,,,,,Unknown
00-0032629,B.Brown,,,,UNK,UNK,,,,,,,,,Unknown
00-0033071,M.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0032626,G.Allison,,,,UNK,UNK,,,,,,,,,Unknown
00-0032652,H.Waters,,,,UNK,UNK,,,,,,,,,Unknown
00-0033133,W.Gatewood,,,,UNK,UNK,,,,,,,,,Unknown
00-0033012,K.Adeyemi,,,,UNK,UNK,,,,,,,,,Unknown
00-0032612,B.Ross,,,,UNK,UNK,,,,,,,,,Unknown
00-0032985,M.Everette,,,,UNK,UNK,,,,,,,,,Unknown
00-0032633,R.Gilbert,,,,UNK,UNK,,,,,,,,,Unknown
00-0032711,J.Neill,,,,UNK,UNK,,,,,,,,,Unknown
00-0032323,D.Mathews,,,,UNK,UNK,,,,,,,,,Unknown
00-0033006,J.Mickens,,,,UNK,UNK,,,,,,,,,Unknown
00-0033024,B.Jackson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032815,C.Hubert,,,,UNK,UNK,,,,,,,,,Unknown
00-0033022,C.Edwards,,,,UNK,UNK,,,,,,,,,Unknown
00-0033087,M.Bundy,,,,UNK,UNK,,,,,,,,,Unknown
00-0032926,K.Brent,,,,UNK,UNK,,,,,,,,,Unknown
00-0032813,E.Penny,,,,UNK,UNK,,,,,,,,,Unknown
00-0032949,G.Townsend,,,,UNK,UNK,,,,,,,,,Unknown
00-0032505,G.Swanson,,,,UNK,UNK,,,,,,,,,Unknown
00-0033023,J.Hansley,,,,UNK,UNK,,,,,,,,,Unknown
00-0033094,M.Hall,,,,UNK,UNK,,,,,,,,,Unknown
00-0032487,A.Carlisle,,,,UNK,UNK,,,,,,,,,Unknown
00-0032932,R.O'Malley,,,,UNK,UNK,,,,,,,,,Unknown
00-0032928,K.Wilson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032490,J.Coker,,,,UNK,UNK,,,,,,,,,Unknown
00-0032930,O.Omoile,,,,UNK,UNK,,,,,,,,,Unknown
00-0032798,H.Miller,,,,UNK,UNK,,,,,,,,,Unknown
00-0032498,T.Hartfield,,,,UNK,UNK,,,,,,,,,Unknown
00-0033152,F.Okafor,,,,UNK,UNK,,,,,,,,,Unknown
00-0032936,D.Iddings,,,,UNK,UNK,,,,,,,,,Unknown
00-0032931,K.Durden,,,,UNK,UNK,,,,,,,,,Unknown
00-0032719,L.Jones,,,,UNK,UNK,,,,,,,,,Unknown
00-0032660,B.Bryant,,,,UNK,UNK,,,,,,,,,Unknown
00-0032453,K.Lawler,,,,UNK,UNK,,,,,,,,,Unknown
00-0032820,T.Smith,,,,UNK,UNK,,,,,,,,,Unknown
00-0033150,M.Hunter,,,,UNK,UNK,,,,,,,,,Unknown
00-0032819,S.Randolph,,,,UNK,UNK,,,,,,,,,Unknown
00-0033086,K.Coleman,,,,UNK,UNK,,,,,,,,,Unknown
00-0032784,K.Hogan,,,,UNK,UNK,,,,,,,,,Unknown
00-0032682,K.Palacio,,,,UNK,UNK,,,,,,,,,Unknown
00-0032470,S.Longa,,,,UNK,UNK,,,,,,,,,Unknown
00-0033165,M.Jackson,,,,UNK,UNK,,,,,,,,,Unknown
00-0031646,B.Boyko,,,,UNK,UNK,,,,,,,,,Unknown
00-0033067,J.Ross,,,,UNK,UNK,,,,,,,,,Unknown
00-0033017,B.Roberts,,,,UNK,UNK,,,,,,,,,Unknown
00-0032907,A.McDonald,,,,UNK,UNK,,,,,,,,,Unknown
00-0032915,D.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0032905,C.Landrum,,,,UNK,UNK,,,,,,,,,Unknown
00-0032870,A.Rosas,,,,UNK,UNK,,,,,,,,,Unknown
00-0032871,An.Woods,,,,UNK,UNK,,,,,,,,,Unknown
00-0032860,M.Abdesmad,,,,UNK,UNK,,,,,,,,,Unknown
00-0032864,A.Ellis,,,,UNK,UNK,,,,,,,,,Unknown
00-0032912,D.Reaves,,,,UNK,UNK,,,,,,,,,Unknown
00-0032916,Tr.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0032901,M.Bercovici,,,,UNK,UNK,,,,,,,,,Unknown
00-0033004,C.Swain,,,,UNK,UNK,,,,,,,,,Unknown
00-0032861,L.Brutus,,,,UNK,UNK,,,,,,,,,Unknown
00-0032810,K.Reed,,,,UNK,UNK,,,,,,,,,Unknown
00-0032913,L.Scott,,,,UNK,UNK,,,,,,,,,Unknown
00-0032710,J.McKinnon,,,,UNK,UNK,,,,,,,,,Unknown
00-0032701,J.Brendel,,,,UNK,UNK,,,,,,,,,Unknown
00-0032703,R.Coe,,,,UNK,UNK,,,,,,,,,Unknown
00-0032514,S.Jenkins,,,,UNK,UNK,,,,,,,,,Unknown
00-0032669,T.Bertolet,,,,UNK,UNK,,,,,,,,,Unknown
00-0032707,A.Jones,,,,UNK,UNK,,,,,,,,,Unknown
00-0032944,J.Washington,,,,UNK,UNK,,,,,,,,,Unknown
00-0032671,M.Fox,,,,UNK,UNK,,,,,,,,,Unknown
00-0032676,M.Jordan,,,,UNK,UNK,,,,,,,,,Unknown
00-0032684,I.Seau,,,,UNK,UNK,,,,,,,,,Unknown
00-0033043,A.Traylor,,,,UNK,UNK,,,,,,,,,Unknown
00-0033063,Z.Wood,,,,UNK,UNK,,,,,,,,,Unknown
00-0032672,A.Green,,,,UNK,UNK,,,,,,,,,Unknown
00-0032679,P.McRoberts,,,,UNK,UNK,,,,,,,,,Unknown
00-0032670,B.Chubb,,,,UNK,UNK,,,,,,,,,Unknown
00-0032704,A.Colquhoun,,,,UNK,UNK,,,,,,,,,Unknown
00-0032708,D.King,,,,UNK,UNK,,,,,,,,,Unknown
00-0032945,D'.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0032675,D.Herring,,,,UNK,UNK,,,,,,,,,Unknown
00-0032358,T.Smith,,,,UNK,UNK,,,,,,,,,Unknown
00-0032452,T.Bates,,,,UNK,UNK,,,,,,,,,Unknown
00-0032360,D.White,,,,UNK,UNK,,,,,,,,,Unknown
00-0032344,S.Bailey,,,,UNK,UNK,,,,,,,,,Unknown
00-0032357,D.Simmons,,,,UNK,UNK,,,,,,,,,Unknown
00-0033155,L.Hightower,,,,UNK,UNK,,,,,,,,,Unknown
00-0032350,S.McClure,,,,UNK,UNK,,,,,,,,,Unknown
00-0032356,A.Sarao,,,,UNK,UNK,,,,,,,,,Unknown
00-0032351,M.McKay,,,,UNK,UNK,,,,,,,,,Unknown
00-0032829,F.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0031679,J.Stangby,,,,UNK,UNK,,,,,,,,,Unknown
00-0032513,E.Striker,,,,UNK,UNK,,,,,,,,,Unknown
00-0032518,J.Zimmer,,,,UNK,UNK,,,,,,,,,Unknown
00-0032342,D.Anthrop,,,,UNK,UNK,,,,,,,,,Unknown
00-0032757,W.Rose,,,,UNK,UNK,,,,,,,,,Unknown
00-0030599,"",Toby Jackson,Toby,Jackson,UNK,UNK,2542301,http://www.nfl.com/player/tobyjackson/2542301/profile,64,10/18/1989,Central Florida,77,257,,Unknown
00-0032353,C.Milton,,,,UNK,UNK,,,,,,,,,Unknown
00-0032730,E.Lee,,,,UNK,UNK,,,,,,,,,Unknown
00-0032721,J.Lunsford,,,,UNK,UNK,,,,,,,,,Unknown
00-0032739,W.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0032733,S.Rashad,,,,UNK,UNK,,,,,,,,,Unknown
00-0032717,D.Cherry,,,,UNK,UNK,,,,,,,,,Unknown
00-0032440,K.Taylor,,,,UNK,UNK,,,,,,,,,Unknown
00-0033134,R.Howard,,,,UNK,UNK,,,,,,,,,Unknown
00-0032729,U.Kamalu,,,,UNK,UNK,,,,,,,,,Unknown
00-0032960,W.McManis,,,,UNK,UNK,,,,,,,,,Unknown
00-0032715,J.Bell,,,,UNK,UNK,,,,,,,,,Unknown
00-0030609,"",Dennis Godfrey,Dennis,Godfrey,UNK,UNK,2542332,http://www.nfl.com/player/dennisgodfrey/2542332/profile,64,11/10/1987,Wake Forest,75,315,,Unknown
00-0032728,T.Jones,,,,UNK,UNK,,,,,,,,,Unknown
00-0032924,R.Langford,,,,UNK,UNK,,,,,,,,,Unknown
00-0029823,"",Dan Moore,Dan,Moore,UNK,UNK,2541557,http://www.nfl.com/player/danmoore/2541557/profile,48,2/1/1990,Montana,71,240,,Unknown
00-0032714,A.Balducci,,,,UNK,UNK,,,,,,,,,Unknown
00-0032718,J.Fanaika,,,,UNK,UNK,,,,,,,,,Unknown
00-0032456,P.Iworah,,,,UNK,UNK,,,,,,,,,Unknown
00-0032720,D.Lake,,,,UNK,UNK,,,,,,,,,Unknown
00-0032738,C.Wallace,,,,UNK,UNK,,,,,,,,,Unknown
00-0032444,T.Feeney,,,,UNK,UNK,,,,,,,,,Unknown
00-0033146,D.Watford,,,,UNK,UNK,,,,,,,,,Unknown
00-0032980,M.Johnson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032516,J.Whigham,,,,UNK,UNK,,,,,,,,,Unknown
00-0032559,J.Lee,,,,UNK,UNK,,,,,,,,,Unknown
00-0032993,A.Bonnet,,,,UNK,UNK,,,,,,,,,Unknown
00-0032558,D.Gibson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032550,A.Russell,,,,UNK,UNK,,,,,,,,,Unknown
00-0032934,T.McRae,,,,UNK,UNK,,,,,,,,,Unknown
00-0032986,J.Holtz,,,,UNK,UNK,,,,,,,,,Unknown
00-0032667,R.Robertson-Harris,,,,UNK,UNK,,,,,,,,,Unknown
00-0032845,A.Squirewell,,,,UNK,UNK,,,,,,,,,Unknown
00-0032640,R.Jette,,,,UNK,UNK,,,,,,,,,Unknown
00-0032808,Z.Brooks,,,,UNK,UNK,,,,,,,,,Unknown
00-0032609,M.Michel,,,,UNK,UNK,,,,,,,,,Unknown
00-0032606,K.Carter,,,,UNK,UNK,,,,,,,,,Unknown
00-0032372,V.Showers,,,,UNK,UNK,,,,,,,,,Unknown
00-0033143,K.Thompson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032781,M.Ioannidis,,,,UNK,UNK,,,,,,,,,Unknown
00-0031877,T.Cofield,,,,UNK,UNK,,,,,,,,,Unknown
00-0032834,L.Carrington,,,,UNK,UNK,,,,,,,,,Unknown
00-0033088,J.Turner,,,,UNK,UNK,,,,,,,,,Unknown
00-0033041,M.Cooper,,,,UNK,UNK,,,,,,,,,Unknown
00-0032511,R.Zamort,,,,UNK,UNK,,,,,,,,,Unknown
00-0032914,M.Weiser,,,,UNK,UNK,,,,,,,,,Unknown
00-0032625,B.Shippen,,,,UNK,UNK,,,,,,,,,Unknown
00-0032732,R.Mullaney,,,,UNK,UNK,,,,,,,,,Unknown
00-0033169,T.Lally,,,,UNK,UNK,,,,,,,,,Unknown
00-0033032,B.Deaver,,,,UNK,UNK,,,,,,,,,Unknown
00-0032354,A.Redmond,,,,UNK,UNK,,,,,,,,,Unknown
00-0033180,A.Opoku,,,,UNK,UNK,,,,,,,,,Unknown
00-0032855,K.Johnson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032527,M.Wittek,,,,UNK,UNK,,,,,,,,,Unknown
00-0033021,J.Lampman,,,,UNK,UNK,,,,,,,,,Unknown
00-0031698,D.Day,,,,UNK,UNK,,,,,,,,,Unknown
00-0031699,K.Roberts,,,,UNK,UNK,,,,,,,,,Unknown
00-0032489,A.Glover,,,,UNK,UNK,,,,,,,,,Unknown
00-0032488,M.Frazier,,,,UNK,UNK,,,,,,,,,Unknown
00-0032716,D.Cajuste,,,,UNK,UNK,,,,,,,,,Unknown
00-0032526,D.Moala,,,,UNK,UNK,,,,,,,,,Unknown
00-0032458,D.Neal,,,,UNK,UNK,,,,,,,,,Unknown
00-0032469,L.Koht,,,,UNK,UNK,,,,,,,,,Unknown
00-0033181,J.Powell,,,,UNK,UNK,,,,,,,,,Unknown
00-0032678,J.Lomax,,,,UNK,UNK,,,,,,,,,Unknown
00-0032673,R.Gaines,,,,UNK,UNK,,,,,,,,,Unknown
00-0032920,G.Mayweather,,,,UNK,UNK,,,,,,,,,Unknown
00-0032873,M.Caputo,,,,UNK,UNK,,,,,,,,,Unknown
00-0030778,C.Feigt,,,,UNK,UNK,,,,,,,,,Unknown
00-0032824,D.Glidden,,,,UNK,UNK,,,,,,,,,Unknown
00-0033174,T.Harris,,,,UNK,UNK,,,,,,,,,Unknown
00-0032900,B.Sandland,,,,UNK,UNK,,,,,,,,,Unknown
00-0032583,B.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0033095,G.Griffin,,,,UNK,UNK,,,,,,,,,Unknown
00-0032877,M.Henry,,,,UNK,UNK,,,,,,,,,Unknown
00-0032705,E.Eagan,,,,UNK,UNK,,,,,,,,,Unknown
00-0032649,B.Price,,,,UNK,UNK,,,,,,,,,Unknown
00-0032325,J.Johnson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032843,D.Anderson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032367,E.Ederaine,,,,UNK,UNK,,,,,,,,,Unknown
00-0032848,K.Peterson,,,,UNK,UNK,,,,,,,,,Unknown
00-0032572,M.Ojemudia,,,,UNK,UNK,,,,,,,,,Unknown
00-0032575,M.Skura,,,,UNK,UNK,,,,,,,,,Unknown
00-0032567,A.Fabiano,,,,UNK,UNK,,,,,,,,,Unknown
00-0032962,D.Greene,,,,UNK,UNK,,,,,,,,,Unknown
00-0032352,M.Miller,,,,UNK,UNK,,,,,,,,,Unknown
00-0033160,T.Williams,,,,UNK,UNK,,,,,,,,,Unknown
00-0033005,D.Kirkland,,,,UNK,UNK,,,,,,,,,Unknown
00-0032459,A.Neary,,,,UNK,UNK,,,,,,,,,Unknown
00-0033172,Z.Colvin,,,,UNK,UNK,,,,,,,,,Unknown
00-0032603,D.Richards,,,,UNK,UNK,,,,,,,,,Unknown
00-0031701,R.Crisp,,,,UNK,UNK,,,,,,,,,Unknown
00-0032508,H.Valles,,,,UNK,UNK,,,,,,,,,Unknown
00-0032691,Q.Bundrage,,,,UNK,UNK,,,,,,,,,Unknown
00-0032948,A.Epps,,,,UNK,UNK,,,,,,,,,Unknown
00-0032520,R.Hill,,,,UNK,UNK,,,,,,,,,Unknown
00-0032375,J.Kerridge,,,,UNK,UNK,,,,,,,,,Unknown
00-0032598,D.Johnson,,,,UNK,UNK,,,,,,,,,Unknown
00-0033184,J.Metz,,,,UNK,UNK,,,,,,,,,Unknown
00-0032297,K.O'Brien,,,,UNK,UNK,,,,,,,,,Unknown
